,YEAR_,AGENCY,CAUSE,C_METHOD,OBJECTIVE,DECADES
219,2020.0,2.0,1.0,7.0,1.0,44.94441010848846
220,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
221,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
222,2020.0,2.0,2.0,6.0,1.0,44.94441010848846
223,2020.0,2.0,5.0,6.0,1.0,44.94441010848846
224,2020.0,2.0,2.0,6.0,1.0,44.94441010848846
225,2020.0,3.0,1.0,1.0,1.0,44.94441010848846
226,2020.0,5.0,9.0,8.0,1.0,44.94441010848846
227,2020.0,11.0,1.0,8.0,1.0,44.94441010848846
228,2020.0,11.0,1.0,3.0,1.0,44.94441010848846
229,2020.0,11.0,1.0,3.0,1.0,44.94441010848846
230,2020.0,11.0,1.0,7.0,1.0,44.94441010848846
231,2020.0,11.0,1.0,8.0,1.0,44.94441010848846
232,2020.0,11.0,1.0,7.0,1.0,44.94441010848846
233,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
234,2020.0,11.0,4.0,3.0,1.0,44.94441010848846
235,2020.0,11.0,1.0,3.0,1.0,44.94441010848846
236,2020.0,11.0,1.0,1.0,1.0,44.94441010848846
237,2020.0,11.0,1.0,7.0,1.0,44.94441010848846
238,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
239,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
240,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
241,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
242,2020.0,11.0,1.0,6.0,1.0,44.94441010848846
243,2020.0,11.0,1.0,6.0,1.0,44.94441010848846
244,2020.0,11.0,1.0,7.0,1.0,44.94441010848846
245,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
246,2020.0,11.0,10.0,7.0,1.0,44.94441010848846
247,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
248,2020.0,11.0,7.0,1.0,1.0,44.94441010848846
249,2020.0,11.0,1.0,6.0,1.0,44.94441010848846
250,2020.0,11.0,1.0,7.0,1.0,44.94441010848846
251,2020.0,11.0,2.0,1.0,1.0,44.94441010848846
252,2020.0,0.0,14.0,8.0,1.0,44.94441010848846
253,2020.0,11.0,9.0,8.0,1.0,44.94441010848846
254,2020.0,11.0,11.0,8.0,1.0,44.94441010848846
255,2020.0,11.0,2.0,6.0,1.0,44.94441010848846
256,2020.0,11.0,14.0,1.0,1.0,44.94441010848846
257,2020.0,11.0,1.0,2.0,1.0,44.94441010848846
258,2020.0,11.0,14.0,3.0,1.0,44.94441010848846
259,2020.0,0.0,14.0,8.0,1.0,44.94441010848846
260,2020.0,11.0,1.0,7.0,1.0,44.94441010848846
261,2020.0,11.0,1.0,1.0,1.0,44.94441010848846
262,2020.0,11.0,1.0,6.0,1.0,44.94441010848846
263,2020.0,11.0,18.0,8.0,1.0,44.94441010848846
264,2020.0,11.0,10.0,7.0,1.0,44.94441010848846
265,2020.0,11.0,1.0,1.0,1.0,44.94441010848846
266,2020.0,11.0,9.0,8.0,1.0,44.94441010848846
267,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
268,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
269,2020.0,11.0,14.0,3.0,1.0,44.94441010848846
270,2020.0,11.0,14.0,3.0,1.0,44.94441010848846
271,2020.0,11.0,2.0,1.0,1.0,44.94441010848846
272,2020.0,11.0,4.0,8.0,1.0,44.94441010848846
273,2020.0,11.0,9.0,6.0,1.0,44.94441010848846
274,2020.0,11.0,7.0,8.0,1.0,44.94441010848846
275,2020.0,11.0,2.0,8.0,1.0,44.94441010848846
276,2020.0,9.0,10.0,8.0,1.0,44.94441010848846
277,2020.0,2.0,18.0,6.0,1.0,44.94441010848846
278,2020.0,11.0,2.0,7.0,1.0,44.94441010848846
279,2020.0,11.0,10.0,7.0,1.0,44.94441010848846
280,2020.0,11.0,14.0,6.0,1.0,44.94441010848846
281,2020.0,11.0,1.0,1.0,1.0,44.94441010848846
282,2020.0,11.0,1.0,8.0,1.0,44.94441010848846
283,2020.0,11.0,14.0,1.0,1.0,44.94441010848846
284,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
285,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
286,2020.0,11.0,5.0,6.0,1.0,44.94441010848846
287,2020.0,1.0,2.0,8.0,1.0,44.94441010848846
288,2020.0,2.0,10.0,2.0,1.0,44.94441010848846
289,2020.0,2.0,9.0,8.0,1.0,44.94441010848846
290,2020.0,11.0,1.0,8.0,1.0,44.94441010848846
291,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
292,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
293,2020.0,11.0,1.0,3.0,1.0,44.94441010848846
294,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
295,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
296,2020.0,11.0,5.0,8.0,1.0,44.94441010848846
297,2020.0,11.0,1.0,8.0,1.0,44.94441010848846
298,2020.0,11.0,1.0,8.0,1.0,44.94441010848846
299,2020.0,11.0,2.0,1.0,1.0,44.94441010848846
300,2020.0,3.0,14.0,8.0,1.0,44.94441010848846
301,2020.0,11.0,14.0,8.0,1.0,44.94441010848846
302,2020.0,11.0,7.0,7.0,1.0,44.94441010848846
303,2020.0,11.0,2.0,3.0,1.0,44.94441010848846
304,2020.0,11.0,14.0,1.0,1.0,44.94441010848846
305,2020.0,9.0,1.0,7.0,2.0,44.94441010848846
306,2020.0,9.0,1.0,7.0,1.0,44.94441010848846
307,2020.0,9.0,1.0,8.0,1.0,44.94441010848846
308,2020.0,9.0,1.0,1.0,2.0,44.94441010848846
309,2020.0,9.0,8.0,8.0,1.0,44.94441010848846
310,2020.0,9.0,1.0,2.0,1.0,44.94441010848846
311,2020.0,9.0,1.0,7.0,2.0,44.94441010848846
312,2020.0,9.0,1.0,7.0,2.0,44.94441010848846
313,2020.0,9.0,2.0,1.0,1.0,44.94441010848846
314,2020.0,9.0,1.0,7.0,2.0,44.94441010848846
315,2020.0,9.0,1.0,7.0,1.0,44.94441010848846
316,2020.0,1.0,14.0,1.0,1.0,44.94441010848846
317,2020.0,1.0,1.0,7.0,1.0,44.94441010848846
318,2020.0,1.0,14.0,2.0,1.0,44.94441010848846
319,2020.0,1.0,14.0,4.0,1.0,44.94441010848846
320,2020.0,1.0,1.0,7.0,1.0,44.94441010848846
321,2020.0,1.0,14.0,7.0,1.0,44.94441010848846
322,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
323,2020.0,1.0,14.0,1.0,1.0,44.94441010848846
324,2020.0,1.0,14.0,7.0,1.0,44.94441010848846
325,2020.0,1.0,14.0,2.0,1.0,44.94441010848846
326,2020.0,1.0,14.0,7.0,1.0,44.94441010848846
327,2020.0,1.0,10.0,7.0,1.0,44.94441010848846
328,2020.0,1.0,1.0,4.0,1.0,44.94441010848846
329,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
330,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
331,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
332,2020.0,1.0,1.0,4.0,1.0,44.94441010848846
333,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
334,2020.0,1.0,1.0,7.0,1.0,44.94441010848846
335,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
336,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
337,2020.0,1.0,8.0,7.0,1.0,44.94441010848846
